study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp
PRJNA392905	SAMN07312028	SRX2979005	SRR5799538	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799538/SRR5799538_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799538/SRR5799538_2.fastq.gz
PRJNA392905	SAMN07312022	SRX2979007	SRR5799540	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/000/SRR5799540/SRR5799540_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/000/SRR5799540/SRR5799540_2.fastq.gz
PRJNA392905	SAMN07312020	SRX2979009	SRR5799542	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/002/SRR5799542/SRR5799542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/002/SRR5799542/SRR5799542_2.fastq.gz
PRJNA392905	SAMN07312024	SRX2979012	SRR5799545	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799545/SRR5799545_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799545/SRR5799545_2.fastq.gz
PRJNA392905	SAMN07312019	SRX2979014	SRR5799547	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799547/SRR5799547_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799547/SRR5799547_2.fastq.gz
PRJNA392905	SAMN07312015	SRX2979018	SRR5799551	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799551/SRR5799551_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799551/SRR5799551_2.fastq.gz
PRJNA392905	SAMN07312011	SRX2979022	SRR5799555	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799555/SRR5799555_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799555/SRR5799555_2.fastq.gz
PRJNA392905	SAMN07312010	SRX2979023	SRR5799556	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/006/SRR5799556/SRR5799556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/006/SRR5799556/SRR5799556_2.fastq.gz
PRJNA392905	SAMN07312120	SRX2978848	SRR5799381	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799381/SRR5799381_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799381/SRR5799381_2.fastq.gz
PRJNA392905	SAMN07312121	SRX2978849	SRR5799382	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/002/SRR5799382/SRR5799382_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/002/SRR5799382/SRR5799382_2.fastq.gz
PRJNA392905	SAMN07312042	SRX2978855	SRR5799388	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799388/SRR5799388_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799388/SRR5799388_2.fastq.gz
PRJNA392905	SAMN07312038	SRX2978858	SRR5799391	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799391/SRR5799391_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799391/SRR5799391_2.fastq.gz
PRJNA392905	SAMN07312039	SRX2978859	SRR5799392	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/002/SRR5799392/SRR5799392_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/002/SRR5799392/SRR5799392_2.fastq.gz
PRJNA392905	SAMN07312037	SRX2978861	SRR5799394	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/004/SRR5799394/SRR5799394_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/004/SRR5799394/SRR5799394_2.fastq.gz
PRJNA392905	SAMN07312135	SRX2978870	SRR5799403	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/003/SRR5799403/SRR5799403_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/003/SRR5799403/SRR5799403_2.fastq.gz
PRJNA392905	SAMN07312133	SRX2978872	SRR5799405	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799405/SRR5799405_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799405/SRR5799405_2.fastq.gz
PRJNA392905	SAMN07312123	SRX2978882	SRR5799415	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799415/SRR5799415_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799415/SRR5799415_2.fastq.gz
PRJNA392905	SAMN07312075	SRX2978883	SRR5799416	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/006/SRR5799416/SRR5799416_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/006/SRR5799416/SRR5799416_2.fastq.gz
PRJNA392905	SAMN07312071	SRX2978887	SRR5799420	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/000/SRR5799420/SRR5799420_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/000/SRR5799420/SRR5799420_2.fastq.gz
PRJNA392905	SAMN07312065	SRX2978894	SRR5799427	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799427/SRR5799427_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799427/SRR5799427_2.fastq.gz
PRJNA392905	SAMN07312064	SRX2978895	SRR5799428	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799428/SRR5799428_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799428/SRR5799428_2.fastq.gz
PRJNA392905	SAMN07312061	SRX2978897	SRR5799430	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/000/SRR5799430/SRR5799430_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/000/SRR5799430/SRR5799430_2.fastq.gz
PRJNA392905	SAMN07312060	SRX2978898	SRR5799431	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799431/SRR5799431_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799431/SRR5799431_2.fastq.gz
PRJNA392905	SAMN07312058	SRX2978900	SRR5799433	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/003/SRR5799433/SRR5799433_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/003/SRR5799433/SRR5799433_2.fastq.gz
PRJNA392905	SAMN07312055	SRX2978903	SRR5799436	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/006/SRR5799436/SRR5799436_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/006/SRR5799436/SRR5799436_2.fastq.gz
PRJNA392905	SAMN07312053	SRX2978905	SRR5799438	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799438/SRR5799438_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799438/SRR5799438_2.fastq.gz
PRJNA392905	SAMN07312101	SRX2978917	SRR5799450	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/000/SRR5799450/SRR5799450_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/000/SRR5799450/SRR5799450_2.fastq.gz
